geo,cluster13,region,nation,fips,1876_D,1876_R,1876_O,1876_T,1880_D,1880_R,1880_O,1880_T,1884_D,1884_R,1884_O,1884_T,1888_D,1888_R,1888_O,1888_T,1892_D,1892_R,1892_O,1892_T,1896_D,1896_R,1896_O,1896_T,1900_D,1900_R,1900_O,1900_T,1904_D,1904_R,1904_O,1904_T,1908_D,1908_R,1908_O,1908_T,1912_D,1912_R,1912_O,1912_T,1916_D,1916_R,1916_O,1916_T,1920_D,1920_R,1920_O,1920_T,1924_D,1924_R,1924_O,1924_T,1928_D,1928_R,1928_O,1928_T,1932_D,1932_R,1932_O,1932_T,1936_D,1936_R,1936_O,1936_T,1940_D,1940_R,1940_O,1940_T,1944_D,1944_R,1944_O,1944_T,1948_D,1948_R,1948_O,1948_T,1952_D,1952_R,1952_O,1952_T,1956_D,1956_R,1956_O,1956_T,1960_D,1960_R,1960_O,1960_T,1964_D,1964_R,1964_O,1964_T,1968_D,1968_R,1968_O,1968_T,1972_D,1972_R,1972_O,1972_T,1976_D,1976_R,1976_O,1976_T,1980_D,1980_R,1980_O,1980_T,1984_D,1984_R,1984_O,1984_T,1988_D,1988_R,1988_O,1988_T,1992_D,1992_R,1992_O,1992_T,1996_D,1996_R,1996_O,1996_T,2000_D,2000_R,2000_O,2000_T,2004_D,2004_R,2004_O,2004_T,2008_D,2008_R,2008_O,2008_T,2012_D,2012_R,2012_O,2012_T,2016_D,2016_R,2016_O,2016_T,2020_D,2020_R,2020_O,2020_T,2024_D,2024_R,2024_O,2024_T
"Tama County, Iowa",6,Midwest,Midlands,0500000US19171,,,,,,,,,,,,,,,,,"2,589","2,421",128,"5,138","2,596","3,054",83,"5,733","2,736","3,290",129,"6,155","2,360","3,127",186,"5,673","2,550","2,774",248,"5,572","2,446","1,179","1,840","5,465","2,572","3,061",102,"5,735","2,552","6,352",169,"9,073","2,180","5,177","2,010","9,367","4,798","5,589",45,"10,432","6,704","4,051",165,"10,920","6,625","4,737",160,"11,522","5,996","5,865",32,"11,893","5,286","5,249",32,"10,567","5,115","4,763",150,"10,028","4,076","7,061",17,"11,154","4,795","5,952",26,"10,773","4,950","5,535",1,"10,486","6,057","3,543",8,"9,608","3,767","4,955",531,"9,253","3,693","5,058",129,"8,880","4,580","4,379",148,"9,107","3,049","4,840",713,"8,602","4,061","4,882",47,"8,990","4,584","3,362",66,"8,012","3,573","2,948","1,809","8,330","3,994","2,986",772,"7,752","4,045","4,034",236,"8,315","4,487","4,456",58,"9,001","4,899","3,820",131,"8,850","4,768","4,098",151,"9,017","3,196","4,971",699,"8,866","3,577","5,303",168,"9,048","3,070","5,379",167,"8,616"
"Taylor County, Iowa",4,Midwest,Midlands,0500000US19173,,,,,,,,,,,,,,,,,"1,423","2,088",335,"3,846","2,293","2,468",27,"4,788","1,984","2,792",101,"4,877","1,060","2,650",311,"4,021","1,585","2,460",141,"4,186","1,372","1,364","1,117","3,853","1,775","2,219",63,"4,057","1,757","4,997",147,"6,901","1,138","4,254","1,588","6,980","2,074","4,700",69,"6,843","3,159","2,670",95,"5,924","3,337","4,145",63,"7,545","2,976","4,420",25,"7,421","2,376","3,804",20,"6,200","2,402","3,244",52,"5,698","1,784","4,608",31,"6,423","2,436","3,533",9,"5,978","2,126","3,452",3,"5,581","2,780","2,162",0,"4,942","1,501","2,765",370,"4,636","1,247","3,042",47,"4,336","1,947","2,059",48,"4,054","1,226","2,715",272,"4,213","1,499","2,496",27,"4,022","1,671","1,647",14,"3,332","1,430","1,200",921,"3,551","1,458","1,419",399,"3,276","1,247","1,770",79,"3,096","1,252","1,908",30,"3,190","1,347","1,607",72,"3,026","1,262","1,683",50,"2,995",758,"2,111",196,"3,065",746,"2,463",40,"3,249",666,"2,381",34,"3,081"
"Union County, Iowa",1,Midwest,Midlands,0500000US19175,,,,,,,,,,,,,,,,,"1,508","1,914",667,"4,089","2,425","2,196",68,"4,689","2,218","2,462",161,"4,841","1,322","2,674",306,"4,302","1,843","2,207",165,"4,215","1,528","1,096","1,269","3,893","1,985","2,050",69,"4,104","2,228","4,466",111,"6,805","1,166","4,250","2,432","7,848","2,651","5,432",60,"8,143","3,967","3,043",73,"7,083","3,938","4,647",114,"8,699","3,229","5,421",18,"8,668","2,861","4,566",23,"7,450","3,218","4,138",58,"7,414","2,566","5,742",24,"8,332","2,828","4,666",7,"7,501","2,720","4,417",5,"7,142","3,751","2,502",10,"6,263","2,137","3,365",396,"5,898","2,112","3,734",131,"5,977","2,955","2,873",120,"5,948","2,182","3,372",425,"5,979","2,875","3,583",118,"6,576","3,236","2,751",54,"6,041","2,565","2,224","1,313","6,102","2,787","2,156",714,"5,657","2,540","3,003",197,"5,740","2,747","3,165",66,"5,978","3,000","2,781",128,"5,909","3,043","2,813",101,"5,957","1,922","3,525",438,"5,885","2,061","4,010",114,"6,185","1,874","4,044",95,"6,013"
"Van Buren County, Iowa",4,Midwest,Midlands,0500000US19177,,,,,,,,,,,,,,,,,"1,789","2,125",116,"4,030","2,076","2,478",74,"4,628","1,893","2,547",76,"4,516","1,416","2,469",129,"4,014","1,730","2,133",97,"3,960","1,495","1,483",790,"3,768","1,735","1,994",68,"3,797","1,682","4,321",83,"6,086","1,209","3,623","1,138","5,970","1,944","3,904",27,"5,875","3,135","2,375",71,"5,581","2,804","3,535",83,"6,422","2,416","4,108",26,"6,550","1,997","3,095",30,"5,122","1,917","2,702",69,"4,688","1,577","3,870",33,"5,480","1,833","3,233",2,"5,068","1,760","3,129",5,"4,894","2,555","1,700",2,"4,257","1,331","2,294",244,"3,869","1,268","2,272",56,"3,596","1,807","1,804",60,"3,671","1,311","2,142",227,"3,680","1,606","2,138",25,"3,769","1,612","1,692",30,"3,334","1,464","1,418",828,"3,710","1,536","1,460",379,"3,375","1,440","2,016",105,"3,561","1,568","2,211",57,"3,836","1,546","1,986",76,"3,608","1,402","2,064",103,"3,569",845,"2,527",223,"3,595",875,"2,859",57,"3,791",778,"2,785",62,"3,625"
"Wapello County, Iowa",6,Midwest,Midlands,0500000US19179,,,,,,,,,,,,,,,,,"3,380","3,643",781,"7,804","4,041","4,319",150,"8,510","3,902","4,742",268,"8,912","2,473","4,912",720,"8,105","3,724","4,541",694,"8,959","3,102","2,755","2,613","8,470","3,994","4,398",837,"9,229","4,131","9,884",522,"14,537","3,039","9,870","4,420","17,329","5,793","11,586",149,"17,528","9,504","7,256",316,"17,076","10,578","7,647",287,"18,512","11,880","9,039",87,"21,006","10,732","8,244",113,"19,089","10,841","7,875",260,"18,976","10,449","11,571",130,"22,150","10,960","10,401",20,"21,381","11,116","11,036",15,"22,167","13,971","5,524",51,"19,546","9,375","7,825","1,447","18,647","8,348","9,301",522,"18,171","10,249","6,786",233,"17,268","8,923","7,475","1,270","17,668","10,545","7,098",157,"17,800","10,177","5,350",146,"15,673","8,670","4,852","2,561","16,083","8,437","4,828","1,505","14,770","8,355","6,313",471,"15,139","9,125","7,403",179,"16,707","8,820","6,663",448,"15,931","8,663","6,789",318,"15,770","5,594","8,715",968,"15,277","5,821","9,516",296,"15,633","4,896","9,479",208,"14,583"
"Warren County, Iowa",6,Midwest,Midlands,0500000US19181,,,,,,,,,,,,,,,,,"1,475","2,414",426,"4,315","2,214","2,826",73,"5,113","1,876","2,966",172,"5,014","1,191","2,938",309,"4,438","1,645","2,589",185,"4,419","1,396","1,386","1,269","4,051","1,910","2,182",87,"4,179","2,066","5,323",160,"7,549","1,274","4,683","1,586","7,543","2,239","5,294",58,"7,591","3,542","3,725",141,"7,408","4,011","4,642",152,"8,805","3,856","5,016",51,"8,923","3,319","4,266",56,"7,641","3,481","3,876",248,"7,605","3,042","5,911",64,"9,017","3,729","5,430",15,"9,174","4,136","6,013",0,"10,149","6,639","3,679",33,"10,351","4,613","5,619",939,"11,171","5,143","7,332",329,"12,804","7,653","6,099",356,"14,108","6,610","7,360","1,549","15,519","8,171","8,277",122,"16,570","9,627","6,424",80,"16,131","8,612","7,242","3,303","19,157","9,120","6,905","1,447","17,472","9,521","9,621",511,"19,653","10,730","12,160",163,"23,053","12,299","12,144",437,"24,880","12,551","13,052",469,"26,072","10,411","14,814","2,282","27,507","12,574","17,782",683,"31,039","12,712","19,486",606,"32,804"
"Washington County, Iowa",1,Midwest,Midlands,0500000US19183,,,,,,,,,,,,,,,,,"2,134","2,518",186,"4,838","2,292","2,882",122,"5,296","2,234","2,844",163,"5,241","1,772","2,875",206,"4,853","2,119","2,631",139,"4,889","2,003","1,264","1,530","4,797","2,139","2,745",79,"4,963","2,257","5,813",107,"8,177","1,868","5,053","1,457","8,378","2,754","5,948",40,"8,742","4,554","3,889",152,"8,595","4,379","4,619",120,"9,118","4,030","5,649",42,"9,721","3,423","5,308",32,"8,763","3,485","4,680",80,"8,245","2,604","6,946",35,"9,585","3,022","5,844",10,"8,876","3,222","5,861",6,"9,089","4,587","3,315",17,"7,919","2,679","4,899",365,"7,943","2,784","5,187",118,"8,089","3,448","4,218",141,"7,807","2,877","3,967",783,"7,627","3,079","4,613",78,"7,770","3,776","3,741",99,"7,616","3,384","3,576","2,058","9,018","3,828","3,600",745,"8,173","3,932","4,827",335,"9,094","4,595","5,977",116,"10,688","5,170","5,247",209,"10,626","5,115","5,562",327,"11,004","3,943","6,173",976,"11,092","4,561","6,971",233,"11,765","4,297","7,119",172,"11,588"
"Wayne County, Iowa",6,Midwest,Midlands,0500000US19185,,,,,,,,,,,,,,,,,"1,561","1,825",351,"3,737","2,115","2,101",78,"4,294","2,001","2,294",135,"4,430","1,452","2,290",339,"4,081","1,756","2,092",168,"4,016","1,581","1,193",997,"3,771","1,935","1,936",106,"3,977","2,434","4,234",105,"6,773","1,826","3,322","1,500","6,648","2,579","3,911",88,"6,578","3,896","2,311",121,"6,328","3,778","3,609",65,"7,452","3,625","3,748",28,"7,401","3,025","3,098",35,"6,158","3,314","2,738",71,"6,123","2,497","3,995",33,"6,525","2,553","3,340",4,"5,897","2,307","3,401",7,"5,715","3,062","1,994",6,"5,062","1,723","2,553",297,"4,573","1,574","2,681",69,"4,324","2,145","1,781",69,"3,995","1,627","2,221",256,"4,104","1,927","2,061",33,"4,021","1,988","1,467",22,"3,477","1,632","1,299",653,"3,584","1,650","1,295",322,"3,267","1,300","1,666",55,"3,021","1,379","1,733",21,"3,133","1,357","1,565",58,"2,980","1,251","1,583",66,"2,900",719,"2,069",201,"2,989",727,"2,338",44,"3,109",643,"2,426",55,"3,124"
"Webster County, Iowa",6,Midwest,Midlands,0500000US19187,,,,,,,,,,,,,,,,,"2,159","2,551",378,"5,088","2,557","3,691",107,"6,355","2,266","4,221",180,"6,667","1,714","4,358",445,"6,517","2,374","3,658",440,"6,472","2,370","2,123","2,634","7,127","3,196","3,917",208,"7,321","2,804","8,312","1,872","12,988","2,076","6,641","5,721","14,438","6,497","8,525",97,"15,119","8,957","5,243",917,"15,117","9,885","6,494",795,"17,174","10,731","7,583",52,"18,366","9,477","6,935",56,"16,468","9,508","6,951",607,"17,066","8,681","12,336",368,"21,385","9,901","11,097",51,"21,049","10,680","10,741",14,"21,435","13,005","6,576",54,"19,635","8,572","9,349","1,176","19,097","8,358","11,133",402,"19,893","10,543","9,068",384,"19,995","9,001","10,438","1,591","21,030","9,930","9,619",253,"19,802","10,267","6,926",200,"17,393","8,562","6,992","3,367","18,921","8,380","6,275","1,673","16,328","8,479","8,172",397,"17,048","9,561","8,959",111,"18,631","9,917","8,337",300,"18,554","9,537","8,469",286,"18,292","6,305","10,056","1,232","17,593","6,613","10,938",271,"17,822","5,641","10,850",257,"16,748"
"Winnebago County, Iowa",6,Midwest,Yankeedom,0500000US19189,,,,,,,,,,,,,,,,,342,"1,083",189,"1,614",714,"1,912",25,"2,651",474,"2,052",51,"2,577",174,"2,002",62,"2,238",489,"1,710",49,"2,248",390,532,"1,309","2,231",584,"1,713",52,"2,349",469,"3,931",114,"4,514",225,"2,445","2,502","5,172","1,268","3,386",177,"4,831","3,281","2,012",206,"5,499","3,133","2,592",202,"5,927","3,051","3,308",29,"6,388","2,654","2,808",18,"5,480","2,626","2,636",189,"5,451","1,905","4,574",20,"6,499","2,521","3,926",6,"6,453","2,463","4,082",4,"6,549","3,677","2,331",9,"6,017","2,163","3,543",248,"5,954","2,324","4,300",45,"6,669","2,950","3,315",81,"6,346","2,208","3,808",463,"6,479","2,669","3,616",29,"6,314","2,804","2,863",36,"5,703","2,322","2,407","1,349","6,078","2,679","2,211",631,"5,521","2,691","2,662",174,"5,527","2,707","3,175",70,"5,952","3,254","2,730",98,"6,082","2,903","2,906",109,"5,918","1,931","3,447",486,"5,864","2,135","3,707",128,"5,970","1,909","3,636",97,"5,642"
"Winneshiek County, Iowa",1,Midwest,Yankeedom,0500000US19191,,,,,,,,,,,,,,,,,"2,262","2,578",77,"4,917","2,033","3,422",87,"5,542","1,835","3,486",65,"5,386","1,467","3,383",56,"4,906","2,008","2,767",97,"4,872","2,105",802,"2,223","5,130","1,956","2,876",138,"4,970","1,933","6,684",180,"8,797","1,510","4,154","3,786","9,450","4,535","5,084",73,"9,692","6,823","3,348",162,"10,333","5,980","4,489",712,"11,181","5,405","6,208",24,"11,637","4,557","5,318",18,"9,893","4,905","4,594",164,"9,663","3,560","7,154",22,"10,736","4,251","6,192",17,"10,460","4,786","5,737",7,"10,530","5,811","3,941",7,"9,759","3,364","5,600",355,"9,319","4,401","5,877",174,"10,452","4,158","4,765",226,"9,149","3,201","5,033","1,070","9,304","3,724","5,277",104,"9,105","4,443","4,194",88,"8,725","3,791","3,331","2,502","9,624","4,122","3,532","1,116","8,770","4,339","4,647",431,"9,417","5,354","5,324",106,"10,784","6,829","4,273",178,"11,280","6,256","4,622",206,"11,084","5,254","5,344",913,"11,511","5,617","6,235",212,"12,064","5,321","6,427",231,"11,979"
"Woodbury County, Iowa",6,Midwest,Midlands,0500000US19193,,,,,,,,,,,,,,,,,"4,156","4,620","1,040","9,816","4,876","6,204",229,"11,309","4,796","7,045",402,"12,243","2,809","7,597",958,"11,364","5,222","6,587",498,"12,307","4,564","2,441","6,077","13,082","8,819","5,735",299,"14,853","9,815","17,603",944,"28,362","5,676","16,639","12,804","35,119","16,831","20,587",166,"37,584","26,397","12,764",761,"39,922","26,847","14,157","1,998","43,002","24,457","22,832",89,"47,378","20,448","18,544",104,"39,096","22,056","16,655",373,"39,084","19,474","27,518",159,"47,151","19,997","25,399",49,"45,445","21,906","26,832",6,"48,744","26,841","17,347",30,"44,218","18,281","21,159","2,363","41,803","16,974","23,757",699,"41,430","19,664","22,853",770,"43,287","15,930","23,553","3,792","43,275","18,951","23,002",397,"42,350","20,153","18,790",282,"39,225","17,398","18,148","7,318","42,864","17,224","16,368","3,872","37,464","17,691","18,864","1,341","37,896","21,455","22,451",289,"44,195","21,983","22,219",599,"44,801","22,302","21,841",876,"45,019","16,210","24,727","3,230","44,167","18,704","25,736",922,"45,362","16,145","25,969",807,"42,921"
"Worth County, Iowa",6,Midwest,Yankeedom,0500000US19195,,,,,,,,,,,,,,,,,614,"1,273",87,"1,974",584,"1,696",20,"2,300",475,"1,730",33,"2,238",307,"1,659",58,"2,024",449,"1,433",46,"1,928",402,354,"1,226","1,982",566,"1,463",48,"2,077",516,"3,401",92,"4,009",180,"2,340","2,071","4,591","1,310","2,921",90,"4,321","2,640","1,690",65,"4,395","2,976","1,964",44,"4,984","3,007","2,434",14,"5,455","2,629","2,086",10,"4,725","2,623","1,878",136,"4,637","2,075","3,315",14,"5,404","2,465","2,700",2,"5,167","2,303","2,740",5,"5,048","2,936","1,777",10,"4,723","1,815","2,383",222,"4,420","2,034","2,564",38,"4,636","2,399","1,964",62,"4,425","1,721","2,247",342,"4,310","2,263","1,985",18,"4,266","2,440","1,488",54,"3,982","2,009","1,382","1,057","4,448","2,293","1,284",435,"4,012","2,208","1,659",137,"4,004","2,286","1,795",42,"4,123","2,567","1,612",78,"4,257","2,350","1,744",78,"4,172","1,530","2,453",322,"4,305","1,596","2,738",84,"4,418","1,508","2,715",64,"4,287"
"Wright County, Iowa",6,Midwest,Midlands,0500000US19197,,,,,,,,,,,,,,,,,"1,137","2,065",61,"3,263","1,138","2,992",61,"4,191",891,"2,990",102,"3,983",695,"2,795",122,"3,612",866,"2,498",89,"3,453",765,805,"1,985","3,555","1,135","2,599",76,"3,810","1,205","5,739",138,"7,082",501,"4,323","2,707","7,531","2,547","5,020",63,"7,630","4,922","3,262",150,"8,334","5,177","3,311",222,"8,710","4,871","4,443",36,"9,350","4,232","3,916",35,"8,183","3,866","3,810",124,"7,800","3,186","6,566",31,"9,783","3,865","5,512",13,"9,390","4,159","5,386",15,"9,560","4,998","2,831",7,"7,836","2,969","4,299",281,"7,549","2,780","4,278",104,"7,162","3,637","3,544",101,"7,282","2,645","3,936",566,"7,147","2,980","3,675",50,"6,705","3,353","2,658",43,"6,054","2,776","2,708","1,181","6,665","2,912","2,473",574,"5,959","2,796","3,384",156,"6,336","2,930","3,631",42,"6,603","3,102","3,198",95,"6,395","2,836","3,349",93,"6,278","1,896","3,800",396,"6,092","1,996","4,136",122,"6,254","1,770","3,853",100,"5,723"
"Allen County, Kansas",4,Prairie,Greater Appalachian,0500000US20001,,,,,,,,,,,,,,,,,0,"1,398","1,549","2,947","1,656","1,833",63,"3,552","2,073","2,680",70,"4,823","1,380","3,754",382,"5,516","2,579","3,283",240,"6,102","1,739","1,692","1,394","4,825","4,053","4,129",459,"8,641","2,272","5,091",159,"7,522","2,181","6,101",441,"8,723","1,803","6,695",52,"8,550","4,249","4,510",177,"8,936","3,869","6,071",5,"9,945","3,178","6,376",46,"9,600","2,262","5,032",46,"7,340","2,891","4,704",90,"7,685","2,160","6,045",31,"8,236","2,143","5,342",23,"7,508","2,540","4,947",21,"7,508","3,369","2,841",42,"6,252","1,875","3,520",505,"5,900","1,610","3,938",121,"5,669","2,746","3,269",126,"6,141","2,009","3,811",497,"6,317","1,778","4,267",72,"6,117","2,392","3,429",77,"5,898","2,312","2,351","1,767","6,430","2,299","2,797",847,"5,943","2,132","3,379",255,"5,766","1,922","3,867",84,"5,873","2,189","3,552",118,"5,859","1,869","3,316",125,"5,310","1,433","3,651",425,"5,509","1,570","4,218",104,"5,892","1,445","4,029",146,"5,620"
"Anderson County, Kansas",2,Prairie,Midlands,0500000US20003,,,,,,,,,,,,,,,,,0,"1,476","1,732","3,208","1,890","1,780",72,"3,742","1,757","1,846",60,"3,663","1,043","1,891",312,"3,246","1,512","1,722",126,"3,360","1,365",618,"1,125","3,108","2,739","2,386",304,"5,429","1,708","3,068",108,"4,884","1,421","3,101",563,"5,085","1,874","3,562",49,"5,485","3,580","2,408",88,"6,076","2,767","3,452",99,"6,318","2,114","3,886",33,"6,033","1,649","3,060",7,"4,716","2,071","2,787",44,"4,902","1,333","3,672",13,"5,018","1,369","3,080",14,"4,463","1,589","2,665",20,"4,274","2,058","1,692",30,"3,780","1,242","2,168",404,"3,814","1,035","2,718",83,"3,836","1,886","1,872",86,"3,844","1,170","2,363",240,"3,773","1,155","2,462",50,"3,667","1,466","1,781",36,"3,283","1,178","1,218","1,291","3,687","1,367","1,636",503,"3,506","1,327","1,984",167,"3,478","1,295","2,500",68,"3,863","1,175","2,362",89,"3,626",944,"2,276",95,"3,315",672,"2,435",243,"3,350",782,"2,929",81,"3,792",732,"2,998",72,"3,802"
"Atchison County, Kansas",6,Prairie,Midlands,0500000US20005,,,,,,,,,,,,,,,,,0,"2,718","2,704","5,422","2,963","3,326",28,"6,317","2,682","3,390",32,"6,104","1,854","3,542",117,"5,513","2,593","3,244",68,"5,905","2,449","1,535","1,618","5,602","4,634","4,624",254,"9,512","3,082","5,872",77,"9,031","2,199","6,246","1,341","9,786","3,756","6,647",37,"10,440","5,640","4,778",157,"10,575","5,817","5,312",31,"11,160","4,557","5,921",82,"10,560","3,325","4,731",20,"8,076","3,910","4,141",62,"8,113","3,283","6,004",9,"9,296","3,134","5,608",9,"8,751","4,336","4,793",31,"9,160","5,037","3,147",45,"8,229","3,379","3,644",899,"7,922","2,404","5,471",191,"8,066","4,108","4,030",206,"8,344","3,063","4,084",434,"7,581","2,641","4,537",77,"7,255","3,177","3,243",194,"6,614","2,959","2,521","2,050","7,530","2,926","2,828",784,"6,538","3,171","3,378",351,"6,900","3,120","3,880",118,"7,118","3,241","3,791",159,"7,191","2,567","3,917",190,"6,674","1,989","4,049",537,"6,575","2,359","4,906",175,"7,440","2,201","4,911",172,"7,284"
"Barber County, Kansas",8,Prairie,Midlands,0500000US20007,,,,,,,,,,,,,,,,,0,"1,439",900,"2,339",729,597,17,"1,343",783,862,40,"1,685",566,967,126,"1,659",864,"1,097",81,"2,042",883,295,"1,139","2,317","2,061","1,632",290,"3,983","1,098","2,400",114,"3,612",909,"2,218",681,"3,808",871,"2,984",49,"3,904","2,321","1,671",96,"4,088","2,774","1,816",18,"4,608","2,074","2,389",58,"4,521","1,501","2,140",31,"3,672","1,891","2,013",49,"3,953","1,028","3,071",46,"4,145","1,241","2,698",10,"3,949","1,347","2,703",16,"4,066","1,845","1,758",21,"3,624","1,027","2,023",291,"3,341",727,"2,308",73,"3,108","1,494","1,568",47,"3,109",914,"1,872",208,"2,994",806,"2,112",22,"2,940","1,118","1,539",49,"2,706",759,"1,225",897,"2,881",730,"1,696",303,"2,729",637,"1,755",106,"2,498",588,"1,782",33,"2,403",598,"1,833",31,"2,462",482,"1,772",60,"2,314",286,"1,850",125,"2,261",291,"2,014",37,"2,342",288,"1,854",28,"2,170"
"Barton County, Kansas",2,Prairie,Midlands,0500000US20009,,,,,,,,,,,,,,,,,0,"1,816","1,388","3,204","1,616","1,215",24,"2,855","1,772","1,564",30,"3,366","1,235","1,939",158,"3,332","2,004","1,729",124,"3,857","2,069",692,"1,308","4,069","3,292","2,891",319,"6,502","1,688","3,993",125,"5,806","1,605","4,109","1,560","7,274","2,777","4,966",24,"7,767","4,776","3,365",97,"8,238","5,978","3,534",5,"9,517","4,982","6,011",50,"11,043","3,761","5,547",37,"9,345","5,307","6,191",102,"11,600","3,847","9,380",92,"13,319","4,378","8,644",41,"13,063","6,036","7,599",30,"13,665","7,340","4,826",55,"12,221","4,464","6,700","1,044","12,208","3,481","8,479",352,"12,312","5,497","7,311",334,"13,142","3,663","9,147","1,042","13,852","3,111","10,232",195,"13,538","5,024","7,741",310,"13,075","3,846","5,113","4,623","13,582","3,121","7,855","1,123","12,099","3,238","7,302",415,"10,955","2,874","8,666",166,"11,706","3,027","7,802",194,"11,023","2,297","7,874",170,"10,341","1,839","7,888",612,"10,339","2,340","8,608",182,"11,130","2,207","8,205",205,"10,617"
"Bourbon County, Kansas",2,Prairie,Greater Appalachian,0500000US20011,,,,,,,,,,,,,,,,,0,"2,863","2,829","5,692","3,067","2,900",50,"6,017","2,799","3,024",65,"5,888","1,808","3,234",415,"5,457","2,686","2,695",253,"5,634","2,209","1,448","1,698","5,355","5,209","3,370",388,"8,967","3,632","4,194",225,"8,051","2,850","4,210","1,538","8,598","2,223","7,251",82,"9,556","5,577","4,277",181,"10,035","5,714","5,402",4,"11,120","4,898","5,751",78,"10,727","3,622","4,790",39,"8,451","3,879","4,225",111,"8,215","3,023","5,785",56,"8,864","3,151","5,306",47,"8,504","2,928","5,062",41,"8,031","3,980","3,290",53,"7,323","2,241","3,983",780,"7,004","1,912","4,776",126,"6,814","3,237","3,589",103,"6,929","2,605","4,263",331,"7,199","2,175","4,858",69,"7,102","2,623","3,660",49,"6,332","2,509","2,876","1,774","7,159","2,491","3,318",805,"6,614","2,211","3,852",245,"6,308","2,216","4,372",98,"6,686","2,394","4,240",147,"6,781","1,996","4,102",156,"6,254","1,336","4,424",415,"6,175","1,541","5,023",112,"6,676","1,426","4,921",143,"6,490"
"Brown County, Kansas",4,Prairie,Midlands,0500000US20013,,,,,,,,,,,,,,,,,0,"2,252","2,672","4,924","2,618","2,879",77,"5,574","2,298","3,137",59,"5,494","1,244","3,158",200,"4,602","2,044","2,778",111,"4,933","1,774","1,512","1,554","4,840","3,503","4,282",315,"8,100","1,937","5,249",76,"7,262","1,866","5,647",678,"8,191","2,005","6,692",20,"8,717","3,604","5,005",60,"8,669","3,495","5,814",11,"9,320","2,633","6,008",43,"8,684","1,817","4,947",15,"6,779","2,060","4,518",68,"6,646","1,440","6,031",20,"7,491","1,519","5,138",20,"6,677","1,773","4,707",35,"6,515","2,386","3,213",37,"5,636","1,199","3,748",473,"5,420","1,038","4,314",114,"5,466","1,745","3,407",93,"5,245","1,370","3,598",354,"5,322","1,303","3,894",67,"5,264","1,719","3,059",34,"4,812","1,476","2,203","1,615","5,294","1,529","2,688",534,"4,751","1,512","2,985",194,"4,691","1,268","3,092",58,"4,418","1,317","2,985",74,"4,376","1,076","2,829",88,"3,993",863,"2,906",304,"4,073","1,104","3,262",105,"4,471","1,065","3,106",103,"4,274"
"Butler County, Kansas",2,Prairie,Midlands,0500000US20015,,,,,,,,,,,,,,,,,0,"2,705","2,745","5,450","2,926","2,414",35,"5,375","2,752","2,947",120,"5,819","1,540","3,306",495,"5,341","2,290","3,049",310,"5,649","2,005",971,"2,330","5,306","4,248","3,614",511,"8,373","4,112","6,821",331,"11,264","3,642","7,367","1,707","12,716","2,533","10,168",101,"12,802","7,447","6,116",431,"13,994","9,283","6,204",27,"15,514","7,615","7,619",126,"15,360","6,084","7,064",55,"13,203","6,269","6,551",132,"12,952","5,359","10,179",113,"15,651","6,158","9,591",45,"15,794","7,112","10,059",61,"17,232","9,061","6,364",107,"15,532","5,952","7,893","1,696","15,541","4,669","11,045",675,"16,389","8,540","8,390",386,"17,316","6,875","10,210","1,368","18,453","6,371","12,976",217,"19,564","7,690","10,976",390,"19,056","7,029","9,166","7,434","23,629","7,294","13,979","2,543","23,816","6,755","13,377",870,"21,002","7,495","18,438",347,"26,280","9,159","18,155",559,"27,873","7,282","18,157",646,"26,085","6,573","19,073","2,011","27,657","9,181","22,634",705,"32,520","9,150","22,426",660,"32,236"
"Chase County, Kansas",2,Prairie,Midlands,0500000US20017,,,,,,,,,,,,,,,,,0,972,909,"1,881",981,812,22,"1,815",956,"1,084",25,"2,065",562,"1,217",111,"1,890",834,"1,021",70,"1,925",812,476,585,"1,873","1,584","1,356",132,"3,072",904,"1,659",64,"2,627",758,"1,822",330,"2,910",739,"2,079",38,"2,856","1,703","1,485",43,"3,231","1,706","1,610",9,"3,325","1,344","1,871",23,"3,238",998,"1,510",9,"2,517",961,"1,432",37,"2,430",513,"1,815",6,"2,334",529,"1,553",4,"2,086",708,"1,276",8,"1,992",886,902,5,"1,793",462,"1,038",158,"1,658",315,"1,184",58,"1,557",643,922,36,"1,601",413,"1,073",117,"1,603",393,"1,162",15,"1,570",538,884,36,"1,458",470,610,605,"1,685",496,778,276,"1,550",391,848,78,"1,317",418,"1,055",28,"1,501",383,976,25,"1,384",358,875,38,"1,271",316,969,84,"1,369",345,"1,123",23,"1,491",348,"1,090",24,"1,462"
